Event,Event Description,Event Number of Properties,Event Property,Property Description
IW_Auth_Success,Успешная авторизация,2,bank,Название банка
,,,from,из какого продукта/сервиса перешли в IW
IW_Conditions_Shown,показ экрана с условиями использования,0,,
IW_Login_Shown,показ экрана с логином,3,bank,название банка
,,,from,из какого продукта/сервиса перешли в IW
,,,status,как попал на авторизацию
IW_SMS_Close_Click,нажатие на закрыть или крестик на экране с смс,0,,
Origination_Access_Account_Shown,"	При показе экрана ""Доступ к счету""",1,id,
Origination_Added_Employee,При успешном добавлении сотрудника. Передаем вид доступа к счету для этого сотрудника,2,accessType,
,,,id,
Origination_Added_Employee_Error,"	При выскакивании попапа ""Выберете хотя бы один из способов доступа к счету""",1,id,
Origination_Already_User,"	При показе экрана ""Проверьте номер""",0,,
Origination_Application_Main_Error,"	При показе ошибки загрузки экрана статуса заявки ""Не смогли загрузить статус заявки""",2,applStatus,
,,,id,
Origination_Application_Main_Shown,При успешной загрузке экрана статуса заявки,2,applStatus,
,,,id,
Origination_Company_Info_Shown,"	При показе экрана ""Сведения о вашей компании""",0,,
Origination_Data_Processing_Done,"	При показе экрана ""Готово! Перейти к настройке доступа к счету..""",1,id,
Origination_Data_Processing_Shown,"	При показе ""Отправляем заявки"" (первого экрана из карусели)",1,id,
Origination_Deleted_Employee,"	При тапе на кнопку ""удалить сотрудника""",1,id,
Origination_Denied_Shown,При показе любого из экранов отказа в открытии счета,2,deniedReason,
,,,id,
Origination_Doc_Upload_Empty_Document_Error,"	При показе ошибки ""Загрузите все документы перед отправкой..."" (при тапе на кнопку ""Отправить в банк"", когда загружены не все документы)",1,id,
Origination_Doc_Upload_List_Shown,При показе экрана списка файлов по конкретному документов,2,id,
,,,type,
Origination_Doc_Upload_Loading_Type,"	При тапе на одну из кнопок типа загрузки ""Из файлового менеджера"" и ""Снять или выбрать фото""",2,id,
,,,method,
Origination_Doc_Upload_Main_Shown,При показе основного экрана загрузки документов,1,id,
Origination_Doc_Upload_Sent,При успешной отправке документов (финальный экран),1,id,
Origination_Employee_Shown,При показе экрана Сотрудники (список добавленных сотрудников),1,id,
Origination_File_Delete,При успешном удалении файлов (успешно отработал метод),1,id,
Origination_File_Upload,При успешной загрузке файла (успешно отработал метод бэка),2,id,
,,,type,
Origination_File_Upload_Error,При показе ошибки метода загрузки файла,2,id,
,,,type,
Origination_Foreign_Number,"	При показе экрана ""Мы не знакомы""",0,,
Origination_Meeting_Add_To_Calendar,"	При тапе на кнопку ""Добавить в календарь""",1,id,
Origination_Meeting_Addresses_Shown,"	При отображении экрана ""Выбор адреса""",1,id,
Origination_Meeting_Details_Shown,"	При показе экрана ""Встреча. Детали встречи""",1,id,
Origination_Meeting_Done,При успешном назначении встречи (финальный оффер),1,id,
